"site_short","netNr","julian_day","nSpec"
"BB-C1-23","2",29,4
"BB-C1-23","3",23,3
"BB-C1-23","3",24,0
"BB-C1-23","3",25,3
"BB-C1-23","3",26,1
"BB-C1-23","3",27,2
"BB-C1-23","3",28,0
"BB-C1-23","3",29,3
"BB-C1-23","4",23,1
"BB-C1-23","4",24,2
"BB-C1-23","4",25,0
"BB-C1-23","4",26,0
"BB-C1-23","4",27,1
"BB-C1-23","4",28,1
"BB-C1-23","4",29,5
"BB-C1-23","5",23,2
"BB-C1-23","5",24,1
"BB-C1-23","5",25,2
"BB-C1-23","5",26,2
"BB-C1-23","5",27,2
"BB-C1-23","5",28,0
"BB-C1-23","5",29,2
"BB-C1-23","6",23,3
"BB-C1-23","6",24,0
"BB-C1-23","6",25,2
"BB-C1-23","6",26,0
"BB-C1-23","6",27,5
"BB-C1-23","6",28,1
"BB-C1-23","6",29,2
"BB-C1-23","7",23,1
"BB-C1-23","7",24,0
"BB-C1-23","7",25,3
"BB-C1-23","7",26,1
"BB-C1-23","7",27,4
"BB-C1-23","7",28,0
"BB-C1-23","7",29,2
"BB-C1-23","8",23,3
"BB-C1-23","8",24,4
"BB-C1-23","8",25,5
"BB-C1-23","8",26,0
"BB-C1-23","8",27,2
"BB-C1-23","8",28,1
"BB-C1-23","8",29,2
"BB-C1-23","9",23,1
"BB-C1-23","9",24,0
"BB-C1-23","9",25,1
"BB-C1-23","9",26,1
"BB-C1-23","9",27,2
"BB-C1-23","9",28,2
"BB-C1-23","9",29,5
"BB-C2-23","1",23,1
"BB-C2-23","1",24,5
"BB-C2-23","1",25,2
"BB-C2-23","1",26,0
"BB-C2-23","1",27,2
"BB-C2-23","1",28,0
"BB-C2-23","1",29,6
"BB-C2-23","10",23,0
"BB-C2-23","10",24,1
"BB-C2-23","10",25,1
"BB-C2-23","10",26,1
"BB-C2-23","10",27,3
"BB-C2-23","10",28,1
"BB-C2-23","10",29,4
"BB-C2-23","2",23,2
"BB-C2-23","2",24,1
"BB-C2-23","2",25,0
"BB-C2-23","2",26,0
"BB-C2-23","2",27,1
"BB-C2-23","2",28,0
"BB-C2-23","2",29,4
"BB-C2-23","3",23,2
"BB-C2-23","3",24,4
"BB-C2-23","3",25,1
"BB-C2-23","3",26,0
"BB-C2-23","3",27,2
"BB-C2-23","3",28,0
"BB-C2-23","3",29,4
"BB-C2-23","4",23,1
"BB-C2-23","4",24,5
"BB-C2-23","4",25,1
"BB-C2-23","4",26,0
"BB-C2-23","4",27,1
"BB-C2-23","4",28,1
"BB-C2-23","4",29,2
"BB-C2-23","5",23,3
"BB-C2-23","5",24,2
"BB-C2-23","5",25,1
"BB-C2-23","5",26,0
"BB-C2-23","5",27,3
"BB-C2-23","5",28,0
"BB-C2-23","5",29,4
"BB-C2-23","6",23,0
"BB-C2-23","6",24,3
"BB-C2-23","6",25,4
"BB-C2-23","6",26,0
"BB-C2-23","6",27,3
"BB-C2-23","6",28,1
"BB-C2-23","6",29,5
"BB-C2-23","7",23,0
"BB-C2-23","7",24,1
"BB-C2-23","7",25,1
"BB-C2-23","7",26,0
"BB-C2-23","7",27,2
"BB-C2-23","7",28,3
"BB-C2-23","7",29,3
"BB-C2-23","8",23,0
"BB-C2-23","8",24,2
"BB-C2-23","8",25,2
"BB-C2-23","8",26,0
"BB-C2-23","8",27,5
"BB-C2-23","8",28,1
"BB-C2-23","8",29,3
"BB-C2-23","9",23,0
"BB-C2-23","9",24,1
"BB-C2-23","9",25,4
"BB-C2-23","9",26,0
"BB-C2-23","9",27,4
"BB-C2-23","9",28,1
"BB-C2-23","9",29,4
"BB-D1-23","1",23,1
"BB-D1-23","1",24,1
"BB-D1-23","1",25,5
"BB-D1-23","1",26,6
"BB-D1-23","1",27,0
"BB-D1-23","1",28,2
"BB-D1-23","10",23,0
"BB-D1-23","10",24,0
"BB-D1-23","10",25,0
"BB-D1-23","10",26,1
"BB-D1-23","10",27,0
"BB-D1-23","10",28,1
"BB-D1-23","2",23,1
"BB-D1-23","2",24,0
"BB-D1-23","2",25,4
"BB-D1-23","2",26,1
"BB-D1-23","2",27,2
"BB-D1-23","2",28,3
"BB-D1-23","3",23,2
"BB-D1-23","3",24,0
"BB-D1-23","3",25,2
"BB-D1-23","3",26,1
"BB-D1-23","3",27,1
"BB-D1-23","3",28,2
"BB-D1-23","4",23,0
"BB-D1-23","4",24,0
"BB-D1-23","4",25,4
"BB-D1-23","4",26,2
"BB-D1-23","4",27,0
"BB-D1-23","4",28,0
"BB-D1-23","5",23,1
"BB-D1-23","5",24,0
"BB-D1-23","5",25,2
"BB-D1-23","5",26,5
"BB-D1-23","5",27,0
"BB-D1-23","5",28,1
"BB-D1-23","6",23,0
"BB-D1-23","6",24,1
"BB-D1-23","6",25,0
"BB-D1-23","6",26,0
"BB-D1-23","6",27,0
"BB-D1-23","6",28,1
"BB-D1-23","7",23,0
"BB-D1-23","7",24,0
"BB-D1-23","7",25,0
"BB-D1-23","7",26,2
"BB-D1-23","7",27,0
"BB-D1-23","7",28,2
"BB-D1-23","8",23,1
"BB-D1-23","8",24,0
"BB-D1-23","8",25,0
"BB-D1-23","8",26,1
"BB-D1-23","8",27,0
"BB-D1-23","8",28,2
"BB-D1-23","9",23,0
"BB-D1-23","9",24,0
"BB-D1-23","9",25,0
"BB-D1-23","9",26,1
"BB-D1-23","9",27,0
"BB-D1-23","9",28,3
"BB-D2-23","1",23,3
"BB-D2-23","1",24,4
"BB-D2-23","1",25,2
"BB-D2-23","1",26,2
"BB-D2-23","1",27,0
"BB-D2-23","1",28,4
"BB-D2-23","10",23,1
"BB-D2-23","10",24,3
"BB-D2-23","10",25,2
"BB-D2-23","10",26,0
"BB-D2-23","10",27,1
"BB-D2-23","10",28,2
"BB-D2-23","2",23,0
"BB-D2-23","2",24,4
"BB-D2-23","2",25,3
"BB-D2-23","2",26,2
"BB-D2-23","2",27,0
"BB-D2-23","2",28,4
"BB-D2-23","3",23,2
"BB-D2-23","3",24,4
"BB-D2-23","3",25,4
"BB-D2-23","3",26,1
"BB-D2-23","3",27,1
"BB-D2-23","3",28,1
"BB-D2-23","4",23,1
"BB-D2-23","4",24,0
"BB-D2-23","4",25,0
"BB-D2-23","4",26,2
"BB-D2-23","4",27,1
"BB-D2-23","4",28,2
